query,positive,negative,positive_source,negative_source
Are there certain organizations that typically play key roles in responding to major emergencies?,"DWSS Department of Water Supply and
Sewerage
EDCD Epidemiology and Disease Control
Division
FJ Federation ofJournalists
FNCCI Federation of Nepalese Chambers of
Commerce and Industry
FTA FederationofTransportAssociation
Goon Government of Nepal
VNGOs Intemational/Non-Governmental
Organizatrons
IASC Inter-Agency Standing Committee
ICAO lnternational Civil Aviation
Organizatiorr","Statistics; National Seismological Centre; Waste Management Centre; National
Trauma Centre; Nepalese fu-yt Nepal Police; Armed Police Force; Fire Brigade
Office; Search and Rescue Team, RDRC/DDRC; DDCs; Local level Government
Offices; Civil Aviation Authority; Nepal Food Corporation; and other concerned
Ministries, Departments and Governmental and Non-Governmental Organization. UN",113.pdf,113.pdf
Do they have some kind of global response system in place for when disasters happen and people need help getting to safety?,"ICAO lnternational Civil Aviation
Organizatiorr
ICIMOD International Center fol lntegrated
Mountain Deveiopmenr
IDP lnternal Displaced Persons
IFRC lnternational Fe<leration of Red Cross
and Red Crescent Societies
IHC lnternational Humanitariarr
Communrtie:
INSARAG International Search and Rescue
Advisory Group
IONI lnternational (hganization for
Migration
IRA Initial RaPid Assessment","Notionql Disaster Response Framework 2073
Page | 5
4 Government of Nepal shall ensure the coordination of international humanitarian
communities and facilitate the establishment of Reception and Departure Centre for them at
the airport and set up Base Camp for the Search and Rescue Team'
5 Members of Search and Rescue Team and other humanitarian assistance groups should",113.pdf,113.pdf
"When dealing with emergencies, are there certain government agencies that usually get involved first?","Migration
IRA Initial RaPid Assessment
LEMA Local Emergency Management
Agency
MIRA Multi Cluster Initial Rapid
Assessment
MNMCC Multi National Military Coordination
Center
MoAD Ministry of Agriculture Development
MoCS Ministry of Commerce and Supplies
MoCTCA Ministry of Culture, Tourism and
Civil Aviation
MoD Ministry of Defense
MoE Ministry of Education
MoF Mini:trY of Finance","Timeline
22 Prepare unit team in each security
agencies equipped with the disaster
management tools and equipment
including fire engine
Security forces MoHA. MoD. MoF Within
1 year
z-) Development of Guidelines for
acceptin g international military
asslslance
MoD MoFIA. MoFA. NA Within
1 year
24 Develop Special Operating Procedure
for OSOCC. MNMCC
NEOC MoHA, NA, OCHA, Clusters,
Donors
Within",113.pdf,113.pdf
Do these different ministries have some kind of priority order in case of a crisis or emergency?,"MoE Ministry of Education
MoF Mini:trY of Finance
MoFA Ministry of Foreign Affairs
MoFALD Ministry of Federal Affairs and Local
Development
MoFSC Ministry of Forest and Soil
Conservation
MoHA Ministry of Home AfTairs
MoHP Ministry of Health and Population
MoIC Ministry of Infbrmation and
Communication
MoLJ Ministry of Law and Justice
MoPPWT Ministry of Physical Planning,","MoPPWT Ministry of Physical Planning,
M Works and Transport Management
MoSTE Ministry of Science, Technology and
Environment
MoUD Ministry of Urban Development
MoWCSW Ministry of Women, Children and
Social Welfare
NA Nepalese Army
NDRF National Disaster Response
Framework
NEA Nepal Electricity Authority
NEOC National Emergency Operation
Center
NFC Nepal Food Corporation
NFls Non-Food Items",113.pdf,113.pdf
What's the role of the Nepalese Army in emergency situations like natural disasters?,"MoPPWT Ministry of Physical Planning,
M Works and Transport Management
MoSTE Ministry of Science, Technology and
Environment
MoUD Ministry of Urban Development
MoWCSW Ministry of Women, Children and
Social Welfare
NA Nepalese Army
NDRF National Disaster Response
Framework
NEA Nepal Electricity Authority
NEOC National Emergency Operation
Center
NFC Nepal Food Corporation
NFls Non-Food Items","NFC Nepal Food Corporation
NFls Non-Food Items
NHRC National Human Rights Commission
NOC Nepal Oil Corporation
NP Nepal Police
NRCS Nepal Red Cross Society
NS Nepal Scout
NSC National Seismological Center
NST Nepal Science and T'echnology
OCHA Office for the Coordination of
Humanitzrian Affairs
OPMCM Office of Prime Minister and Council
of Ministers
OSOCC On-Site-Operation Coordination
Center",113.pdf,113.pdf
What's the role of the Office that's coordinating things on the ground during a disaster?,"NFC Nepal Food Corporation
NFls Non-Food Items
NHRC National Human Rights Commission
NOC Nepal Oil Corporation
NP Nepal Police
NRCS Nepal Red Cross Society
NS Nepal Scout
NSC National Seismological Center
NST Nepal Science and T'echnology
OCHA Office for the Coordination of
Humanitzrian Affairs
OPMCM Office of Prime Minister and Council
of Ministers
OSOCC On-Site-Operation Coordination
Center","MoPPWT Ministry of Physical Planning,
M Works and Transport Management
MoSTE Ministry of Science, Technology and
Environment
MoUD Ministry of Urban Development
MoWCSW Ministry of Women, Children and
Social Welfare
NA Nepalese Army
NDRF National Disaster Response
Framework
NEA Nepal Electricity Authority
NEOC National Emergency Operation
Center
NFC Nepal Food Corporation
NFls Non-Food Items",113.pdf,113.pdf
Is there a central place where emergency teams come together to coordinate responses to big disasters?,"OSOCC On-Site-Operation Coordination
Center
RDRC Regional Disaster Relief Committee
RSS Rastriya Samachar Samiti
SAARC South Asia Association fbr Regional
Cooperation
SAM Severe Acute Malnutrition
SAR Search and Rescue
Nottanai Pisaster Respalnse lramewc{ii 2LtJ3
Page I i
SC
SDMC
SMS
swc
TV
UN HC
UNDP
UNDSS
Save the Children
SAARC Disaster Management
Center
Short Message Service","12 On-Site Operations Coordination Center (OSOCC) shall link between international
responders and Government of Nepal; provide a system for coordinating and facilitating
the activities of international relief efforts at a disaster site; provide a platform for
cooperation, coordination and information management among national and international",113.pdf,113.pdf
What role does the United Nations play in coordinating responses when disasters happen?,"Center
Short Message Service
Social Welfare Council
Television
United Nations Humanitarian
Coordinator
United Nations Development
Programme
United Nations Department of Safety
and Security
UNFPA United Nations Population Fund
UNHCR United Nations High Commissioner
for Refugees
UNICEF United Nations Children's Fund
UNISDR United Nations International Straresy
for Disaster Reduction","/NHRC
MoIC MoHP MOFALD
Cluster Co-
leads
(Humanitarian
Asencies,
wHo UNICEF IFRC/
UNHA
BITAT
WFP/FAO WFP TOM UNICUIl'
SC
UNHRC/
UNICEF/
UNFPA
WFP UNICEF UNDP
3 As requested by the Government of Nepal, UN Humanitarian Coordinator of Nepal shallcoordinate for International urban Search and Rescue (usAR) team (based on uNINSARAG Guidelines) and UN Disaster Assessment and coordination Team.",113.pdf,113.pdf
What's the process usually followed by emergency teams when they first respond to a disaster?,"for Disaster Reduction
Urban Search and Rescue
Village Development Committee
Water, Sanitation and Hygiene
World Food Programme
World Health Organization
USAR
VDC
WASH
WFP
wHo
Ndtionol Disqster Response Fromework 2073
Page I ii
Table of Contents
National Disaster Response Framework -------
1. Background ------------ 3
2. Objectives and Scope-- -------------- 3","2. Objectives and Scope-- -------------- 3
3. National System for Disaster Response --------- 3
4. International Assistance for Disaster Response -------------- 4
5. National and International Assistance and Coordination Structure
6, Special Operation Arrangement for National Disaster Response--- -------------------- 7
7. National Framework for Disaster Response ------------- 8",113.pdf,113.pdf
What's the general plan for how different countries help each other during disasters?,"2. Objectives and Scope-- -------------- 3
3. National System for Disaster Response --------- 3
4. International Assistance for Disaster Response -------------- 4
5. National and International Assistance and Coordination Structure
6, Special Operation Arrangement for National Disaster Response--- -------------------- 7
7. National Framework for Disaster Response ------------- 8","For the efl'ective implementation of the National Disaster Response Framework, there shall be
the following special operation arrangement in place:
I Response preparedness activities include collection, analysis and dissemination of early
information on disasters, damage and needs assessments, regulating, awareness/capacity",113.pdf,113.pdf
Does the country have a plan in place for how to respond to a disaster before it actually happens?,"Unofficial translation
)
I
3.
I
National l)isaster Response Framework
1. Background
Relief work following a major disaster in Nepal has been guided by the Natural Calamiry
Relief Act 1982. The National Strategy on Disaster Risk Management provides a strategic
direction in covering all phases of the disaster management cycle. The National Disasier","Objectives and Scope
The main purpose of this framework is to develop a clear, concise and comprehensive
national disaster response liamework for Nepal that can guide a more effictive and
coordinated national response in case ofa large scale disaster.
National Disaster Response means ""actions taken immediately before, during and after the",113.pdf,113.pdf
Do different kinds of organizations have specific roles in responding to disasters in Nepal?,"Response Framework has been prepared for the effective coordination and implementation of
disaster preparedness and response activities by developing a National Disastei Response plan
that clarifies the roles and responsibilities of Government and Non Government asencies
involved in disaster risk management in Nepal.
Objectives and Scope","Objectives and Scope
The main purpose of this framework is to develop a clear, concise and comprehensive
national disaster response liamework for Nepal that can guide a more effictive and
coordinated national response in case ofa large scale disaster.
National Disaster Response means ""actions taken immediately before, during and after the",113.pdf,113.pdf
What kind of actions exactly do you need to take before a big disaster hits?,"Objectives and Scope
The main purpose of this framework is to develop a clear, concise and comprehensive
national disaster response liamework for Nepal that can guide a more effictive and
coordinated national response in case ofa large scale disaster.
National Disaster Response means ""actions taken immediately before, during and after the","Unofficial translation
)
I
3.
I
National l)isaster Response Framework
1. Background
Relief work following a major disaster in Nepal has been guided by the Natural Calamiry
Relief Act 1982. The National Strategy on Disaster Risk Management provides a strategic
direction in covering all phases of the disaster management cycle. The National Disasier",113.pdf,113.pdf
How does the framework help people after a disaster has happened?,"disasters, or directly to save lives and property; maintain law and order; care for sick,
injured and vulnerable people; provide essential services (lifeline utilities, food, shelter.
public information and media); and protect public property"".
The scope of this framework is limited to preparedness and emergency response at
national, regional, district and VDC/local level.","For the efl'ective implementation of the National Disaster Response Framework, there shall be
the following special operation arrangement in place:
I Response preparedness activities include collection, analysis and dissemination of early
information on disasters, damage and needs assessments, regulating, awareness/capacity",113.pdf,113.pdf
Does Nepal have a specific plan or system in place to respond to natural disasters right away?,"national, regional, district and VDC/local level.
National Disaster Response Framework will come into effect immediately after the
approval of the Government of Nepal (Cabinet) as recommended by the Central Natural
Disaster Relief Committee.
National System for Disaster Response
Natural Calamity Relief Act 1982 and Local Self Governance Act 1999 arc the existine","Objectives and Scope
The main purpose of this framework is to develop a clear, concise and comprehensive
national disaster response liamework for Nepal that can guide a more effictive and
coordinated national response in case ofa large scale disaster.
National Disaster Response means ""actions taken immediately before, during and after the",113.pdf,113.pdf
,"legal foundations for disaster response in Nepal.
Natural Calamity Relief Act 1982 mandates the Ministry of Home Affairs as a lead agency
for immediate rescue and relief work as well as disaster preparedness activities. Minisiry ofHome Affairs has also been coordinating preparedness and rehabilitation initiativespursuant to the responsibilities given by the Work Division Regulation 2O64 of the","Unofficial translation
)
I
3.
I
National l)isaster Response Framework
1. Background
Relief work following a major disaster in Nepal has been guided by the Natural Calamiry
Relief Act 1982. The National Strategy on Disaster Risk Management provides a strategic
direction in covering all phases of the disaster management cycle. The National Disasier",113.pdf,113.pdf
How does the government in Nepal usually coordinate its efforts to respond to big emergencies?,"Government of Nepal to oversee the overall activities of the disaste. .""rpo.rr"" in Nepal.
The National Strategy for Disaster Risk Management was formulated in 2009. This
Strategy outlines the Government's vision for making Nepal a disaster resilient country.
The Cabinet, as per the recommendation of the Central Natural Disaster Relief Committee,","Unofficial translation
)
I
3.
I
National l)isaster Response Framework
1. Background
Relief work following a major disaster in Nepal has been guided by the Natural Calamiry
Relief Act 1982. The National Strategy on Disaster Risk Management provides a strategic
direction in covering all phases of the disaster management cycle. The National Disasier",113.pdf,113.pdf
Does the government have a plan in place to respond quickly to big disasters that overwhelm their resources?,"shall declare a state of emergency in case of mega disaster that is beyond the existing
capacity of the Government of Nepal.
As per the Disaster Rescue and Relief Standard 2064, the Natural Disaster Relief Fund
shall remain active at the central, regional, district and local level. The prime MinisterNatural Disaster Relief Fund will be mobilized for disaster response as per the prime","Objectives and Scope
The main purpose of this framework is to develop a clear, concise and comprehensive
national disaster response liamework for Nepal that can guide a more effictive and
coordinated national response in case ofa large scale disaster.
National Disaster Response means ""actions taken immediately before, during and after the",113.pdf,113.pdf
Is there a central fund that gets used specifically for emergency situations?,"Minister Natural Disaster Relief Fund Regulation 2064. In addition, there are several
funds available at international and national humanitarian communities for disaster
response. These funds are being used as per the response needs; therefore, it has been
National Disaster n"".norrr"" n*.*.*.t I
4.
realized to establish a dedicated disaster response fund at the central, regional and district","shall declare a state of emergency in case of mega disaster that is beyond the existing
capacity of the Government of Nepal.
As per the Disaster Rescue and Relief Standard 2064, the Natural Disaster Relief Fund
shall remain active at the central, regional, district and local level. The prime MinisterNatural Disaster Relief Fund will be mobilized for disaster response as per the prime",113.pdf,113.pdf
Is there a particular committee or group that focuses on helping people find shelter after a disaster?,"levels.
The formation of Central Natural Disaster Relief Committee (CNDRC), Regional Disaster
Relief commiffee (ttDRC), District Disaster Relief committee (DDRC) and Local Disaster
Relief Committee (LDRC) is mandated by the Natural Calamity Relief Act 1982 for the
overall disaster response in Nepal. In addition, there are Supply, Shelter and Rehabilitation","national and district level by CNDRC and DDRC respectively. RDRC shall monitor and
evaluate the performance of DDRCs. The district level information needs is to be sent to
the CNDRC.
7, National Framework for Disaster Response
l. Upon the receipt of disaster/potential disaster information from the districts or local level,",113.pdf,113.pdf
How do they usually coordinate all the different teams trying to respond to a disaster?,"sub-committee and Relief and Treatment sub-committee at the central level. In order to
collect, analyze, disseminate and coordinate disaster related information, Emergency
Operation Centers (EOCs) are functional at the central, regional, district and municipality
level.
As provisioned by the Local Self Governance Act 2055, local bodies (DDC, Municipalities","the following iead agencies shall carry out the operational activities as specified in the
matrix below.
CNDRC, RDRC and DDRC shall organize an emergency meeting in coordination with
Government agencies, International and national NGOs as per the need.
Emergency operation centers at national, regional, district and municipality level shall",113.pdf,113.pdf
How does Nepal go about getting help from other countries or organizations when it's dealing with a really big disaster?,"and VDCs) are responsible for disaster preparedness and response'
International Assistance for Disaster Response
In case of a mega disaster requiring international assistance, the Government of Nepal
(Cabinet) may request the UN Humanitarian Coordinator, national and international
governments,- Red Cross Movement, regional organizations, donor communities,","legal foundations for disaster response in Nepal.
Natural Calamity Relief Act 1982 mandates the Ministry of Home Affairs as a lead agency
for immediate rescue and relief work as well as disaster preparedness activities. Minisiry ofHome Affairs has also been coordinating preparedness and rehabilitation initiativespursuant to the responsibilities given by the Work Division Regulation 2O64 of the",113.pdf,113.pdf
What happens when a disaster strikes and we need outside help?,"ifNCOt, political parties, different professionals, resident and non-resident Nepalese
city,en, foreign citizen, and other sources for international assistance in terms of cash or
services to reipond to disaster through concerted national efforts and intensified regional
co-operation. 
^But 
in normal circumstance, the Ministry of Finance shall be consulted for
such an appeal.","such an appeal.
As per the call for assistance fiom the Government of Nepal, the United Nations and the
Red Cross Movement shall appeal for the international assistance to respond to disaster.
Ministry of Home Affairs, in accordance with the Guidelines for Accepting International
Assistance and Early Registration to be prepared in consultation with the Ministry of",113.pdf,113.pdf
How does Nepal usually ask for help from other countries in times of crisis?,"such an appeal.
As per the call for assistance fiom the Government of Nepal, the United Nations and the
Red Cross Movement shall appeal for the international assistance to respond to disaster.
Ministry of Home Affairs, in accordance with the Guidelines for Accepting International
Assistance and Early Registration to be prepared in consultation with the Ministry of","ifNCOt, political parties, different professionals, resident and non-resident Nepalese
city,en, foreign citizen, and other sources for international assistance in terms of cash or
services to reipond to disaster through concerted national efforts and intensified regional
co-operation. 
^But 
in normal circumstance, the Ministry of Finance shall be consulted for
such an appeal.",113.pdf,113.pdf
How do authorities usually help international groups respond to big disasters in a foreign country?,"Finance, shall faciiitate and coordinate the overall management of International
Humanitarian Communities. This includes their listing, registration, as well as delineating
priority response areas for them during the mega disaster'
Government of Nepal shall establish provisions for granting irnmediate visa, visa fees and","ifNCOt, political parties, different professionals, resident and non-resident Nepalese
city,en, foreign citizen, and other sources for international assistance in terms of cash or
services to reipond to disaster through concerted national efforts and intensified regional
co-operation. 
^But 
in normal circumstance, the Ministry of Finance shall be consulted for
such an appeal.",113.pdf,113.pdf
Are there any special rules for letting in people and supplies to help in emergency situations?,"custom duty exemptions at entry points (land or air) to International Humanitarian
Communities (IHCi along with reli-f goods, search and rescue equipments, including
medical equipments and aicessories as per the Model Agreement for Emergency Customs
Procedure 2007.
The Government of Nepal shall facilitate the issuance of entry visa for members of","NEOC MoHA, NA, OCHA, Clusters,
Donors
Within
I year
25 Provision ofVisa fees and custom
duty exemptions at entry points to
IHC, relief goods, SAR equipments
MoHA MoHA, MoFA, Dept. of
Immigration, LIN HC, Red Cross
Movement
Within I
year
26 Water Distribution and Managemenl
Plan in the major cities of Nepal
DWSS MoUD, Security Agencies, Red
Cross Movement, WASH Cluster
and Member Asencies
Within I",113.pdf,113.pdf
"When foreign aid comes to Nepal to help after a big disaster, is there a special process for getting them the necessary papers to stay and do their work?","international community who come to Nepal for search and rescue and humanitarian
support in times of mega disaster. In addition, the Government of Nepal shall also take
initiatives, and facilitatle as necessary, for the provision of transit visa for international
humanitarian community coming to Nepal via India and the port facility for relief items
destined to Nepal.","Finance, shall faciiitate and coordinate the overall management of International
Humanitarian Communities. This includes their listing, registration, as well as delineating
priority response areas for them during the mega disaster'
Government of Nepal shall establish provisions for granting irnmediate visa, visa fees and",113.pdf,113.pdf
How does the government of a country like Nepal typically coordinate with international organizations during a disaster?,"destined to Nepal.
During a large scale disaster, the UN Humanitarian Coordinator shall activate the cluster
,yrt""ri of Nepal. Government of Nepal shall nominate the full time focal person to the
respective cluiter in order to respond io disaster through a coordinated cluster approach' In
aaditlon, the Central Natural Disaster relief Committee may also activate the clusters as
necessary. \ \
t","/NHRC
MoIC MoHP MOFALD
Cluster Co-
leads
(Humanitarian
Asencies,
wHo UNICEF IFRC/
UNHA
BITAT
WFP/FAO WFP TOM UNICUIl'
SC
UNHRC/
UNICEF/
UNFPA
WFP UNICEF UNDP
3 As requested by the Government of Nepal, UN Humanitarian Coordinator of Nepal shallcoordinate for International urban Search and Rescue (usAR) team (based on uNINSARAG Guidelines) and UN Disaster Assessment and coordination Team.",113.pdf,113.pdf
Does the government have a specific plan in place for when they ask other countries for help in a disaster situation?,"necessary. \ \
t
Notionat Pisssteriisponse Framework 2O73
Page | 4
1
National and International Assistance and coordination structure
The national and international assistance and coordination structureshall be as follows: during emergency
(loN declares
Disaster
(Area,'I'ime)
CNDRC Nleeting
called by NIoHA
I Continuous update ofoutstandinc
I needs and progress "" I
Funding Appeal
F----r","2. Objectives and Scope-- -------------- 3
3. National System for Disaster Response --------- 3
4. International Assistance for Disaster Response -------------- 4
5. National and International Assistance and Coordination Structure
6, Special Operation Arrangement for National Disaster Response--- -------------------- 7
7. National Framework for Disaster Response ------------- 8",113.pdf,113.pdf
,"I needs and progress "" I
Funding Appeal
F----r
I Humanirarian I
| 
;r*{iili:'""T,f
fyffiffI
l,ffil
l-ffi-l
| 
(;overnnrenr 
I
-d
-
| ""ffi;x* |
2 The coordination structure in Nepal is presented as below:
Name of
clusters
WASH Food
security
CCCM Protection
nication
Nutrition Early
Recovery
Network
Cluster leads
(Government)
MoPH MoUD MoUf MoAD MoHA VIoUf MoE l{oWCSW
/NHRC
MoIC MoHP MOFALD","NEOC MoHA, NA, OCHA, Clusters,
Donors
Within
I year
25 Provision ofVisa fees and custom
duty exemptions at entry points to
IHC, relief goods, SAR equipments
MoHA MoHA, MoFA, Dept. of
Immigration, LIN HC, Red Cross
Movement
Within I
year
26 Water Distribution and Managemenl
Plan in the major cities of Nepal
DWSS MoUD, Security Agencies, Red
Cross Movement, WASH Cluster
and Member Asencies
Within I",113.pdf,113.pdf
,"/NHRC
MoIC MoHP MOFALD
Cluster Co-
leads
(Humanitarian
Asencies,
wHo UNICEF IFRC/
UNHA
BITAT
WFP/FAO WFP TOM UNICUIl'
SC
UNHRC/
UNICEF/
UNFPA
WFP UNICEF UNDP
3 As requested by the Government of Nepal, UN Humanitarian Coordinator of Nepal shallcoordinate for International urban Search and Rescue (usAR) team (based on uNINSARAG Guidelines) and UN Disaster Assessment and coordination Team.","Resident/Humanitarian Coordinator and UN agencies (UNDP, UNICEF, WHO,
WFP, FAO, UNFPA, UNOCHA, IOM, UNHABITAT. UNHCR. UNDSS): retevant
Clusters; multinational Organizations; ICIMOD; Diplomatic Missions; SAARC;
INGOs, Red Cross movements; International Civil Aviation Organization.
Nepal Red Cross Society, Nepal SCOUT, government and private hospitals, NAST,",113.pdf,113.pdf
What's the procedure for getting international aid groups set up and working together during a disaster?,"Notionql Disaster Response Framework 2073
Page | 5
4 Government of Nepal shall ensure the coordination of international humanitarian
communities and facilitate the establishment of Reception and Departure Centre for them at
the airport and set up Base Camp for the Search and Rescue Team'
5 Members of Search and Rescue Team and other humanitarian assistance groups should","established at the Tribhuvan International Airport and other strategic locations to facilitate
the arrival and departure of humanitarian and military teams and assets during disaster.
l4 International Non-Governmental Organizations that come to Nepal to provide humanitarian
assistance during disaster may do so at the direction of the Government of Nepal and in",113.pdf,113.pdf
