query,positive,negative,positive_source,negative_source
Do they have some sort of database or log where they keep track of progress and updates during recovery efforts?,"13. PROGRESS AGAINST ANNUAL WORK PLAN 47 
14. ANNEXES 85 
• Annex 1: Photo gallery 85 
• Annex 2: Media Coverage 89 
• Annex 3: Stories on Women Empowerment 91 
December, 2016 ANNUAL PROGRESS REPORT 
 
vi | P a g e  
 
  
 
ABBREVIATIONS 
  
ANS : Awaas Nirman Saathi (People's reconstruction friends - trained masons) 
AWP : Annual Work Plan 
BCPR : Bureau for Crisis Prevention and Recovery","47 | P a g e  
   
13.  PROGRESS AGAINST ANNUAL WORK PLAN 2016  
 
 
Table 9: Progress against Annual Work Plan 2016 
EXPECTED  
OUTPUTS                    PLANNED ACTIVITIES                                       
Targets for 
Planned",10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf,10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf
What role do local groups play in figuring out how to prepare for and respond to emergencies in their areas?,"BCPR : Bureau for Crisis Prevention and Recovery 
CBDRM : Community Based Disaster Risk Management 
CBDRMC/P : Community Based Disaster Risk Management Committee/Plan 
CBEWS : Community Based Early Warning System 
CBOs : Community Based Organizations 
CC : Climate Change 
CCA : Climate Change Adaptation 
CDG : Central Department of Geography, Tribhuvan University","CDRMP : Comprehensive Disaster Risk Management Programme 
CFUGs :  Community Forest User Groups 
CPAP : Country Programme Action Plan 
CPR/TTF : Crisis Prevention and Recovery / Thematic Trust Fund 
CTEVT : Council for Technical Education and Vocational Training 
DADO : District Agriculture Development Office/Officer 
DAO : District Administration Office 
D/CRM : Disaster/Climate Risk Management",10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf,10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf
What's the role of local government offices in responding to and preparing for emergency situations?,"CDRMP : Comprehensive Disaster Risk Management Programme 
CFUGs :  Community Forest User Groups 
CPAP : Country Programme Action Plan 
CPR/TTF : Crisis Prevention and Recovery / Thematic Trust Fund 
CTEVT : Council for Technical Education and Vocational Training 
DADO : District Agriculture Development Office/Officer 
DAO : District Administration Office 
D/CRM : Disaster/Climate Risk Management","BCPR : Bureau for Crisis Prevention and Recovery 
CBDRM : Community Based Disaster Risk Management 
CBDRMC/P : Community Based Disaster Risk Management Committee/Plan 
CBEWS : Community Based Early Warning System 
CBOs : Community Based Organizations 
CC : Climate Change 
CCA : Climate Change Adaptation 
CDG : Central Department of Geography, Tribhuvan University",10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf,10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf
Is there a specific organization or group that's typically in charge of coordinating disaster relief efforts on a local or regional level?,"D/CRM : Disaster/Climate Risk Management 
DDC : District Development Committee 
DDRC : District Disaster Relief Committee 
DEOC : District Emergency Operation Center 
DFID : Department for International Development of the United Kingdom 
DFO : District Forest Office/Officer 
DHM : Department of Hydrology and Meteorology 
DIM : Direct Implementation Modality","DIM : Direct Implementation Modality 
DIMS : Disaster Information Management System 
DPRP : District Disaster Preparedness and Response Plan 
DM : Disaster Management 
DoLS : Department of Livestock Services 
DRM : Disaster Risk Management 
DRR : Disaster Risk Reduction 
DSCO : District Soil Conservation Office 
DUDBC : Department of Urban Development and Building Construction",10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf,10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf
Is there something about having plans in place before a disaster happens to help communities respond better?,"DIM : Direct Implementation Modality 
DIMS : Disaster Information Management System 
DPRP : District Disaster Preparedness and Response Plan 
DM : Disaster Management 
DoLS : Department of Livestock Services 
DRM : Disaster Risk Management 
DRR : Disaster Risk Reduction 
DSCO : District Soil Conservation Office 
DUDBC : Department of Urban Development and Building Construction","D/CRM : Disaster/Climate Risk Management 
DDC : District Development Committee 
DDRC : District Disaster Relief Committee 
DEOC : District Emergency Operation Center 
DFID : Department for International Development of the United Kingdom 
DFO : District Forest Office/Officer 
DHM : Department of Hydrology and Meteorology 
DIM : Direct Implementation Modality",10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf,10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf
What role does the government typically play in planning for and responding to major disasters?,"DPNet : Disaster Preparedness Network 
DSCWM : Department of Soil Conservation and Watershed Management 
DWIDP : Department of Water Induced Disaster Prevention 
e-BPS : Electronic Building Permit System 
ECHO : European Commission's Humanitarian aid and Civil Protection Department 
EECDRM : Energy, Environment, Climate Change and Disaster Risk Management Unit 
of UNDP Nepal","and projects supported by UN agencies in Nepal has been developed which is under finalization 
process. 
• A Training Module on Integrated Climate Risk Management Approach in Structural and Non-
Structural Measures for Department of Water Induced Disaster Management (DWIDM) officials has 
been prepared based on the training need assessment.",10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf,10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf
"""What's the process usually followed after a big natural disaster like an earthquake to get back on track?""","of UNDP Nepal 
December, 2016 ANNUAL PROGRESS REPORT 
 
vii | P a g e  
 
  
EOC : Emergency Operations Center 
EPRER : Emergency Preparedness, Response and Early Recovery 
EQ : Earthquake 
ER : Early Recovery 
EWS : Early Warning Systems 
F5 : Flagship 5 
FTMDGSDG : Fast Tracking Millennium Development Goals and Safeguarding 
Development Gains 
GESI : Gender Equality and Social Inclusion","viii | P a g e  
 
  
NEOC : National Emergency Operation Center 
NGO(s) : Non-Governmental Organization 
NP : Nepal Police 
NPC : National Planning Commission 
NR : Nepalese Rupee 
NRA : National Reconstruction Authority 
NRRC/S : Nepal Risk Reduction Consortium/Secretariat 
NSDRM : National Strategy for Disaster Risk Management 2009 
PDNA : Post Disaster Need Assessment",10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf,10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf
"Do I remember hearing that there's some framework or plan that countries use to respond to big natural disasters, and might Nepal be involved with that somehow?","GESI : Gender Equality and Social Inclusion 
GLOF : Glacial Lake Outburst Floods 
GoN : Government of Nepal 
HFA : Hyogo Framework for Action 
HHs : Households 
ICRM : Integrated Climate Risk Management 
IGAs : Income Generating Activities 
ILS : Institutional and Legislative Systems 
JICA :  Japan International Cooperation Agency 
KMC : Kathmandu Metropolitan City","agencies, 
Government 
department
s; 
     
 Expected 
Result 3.2: 
Improved 
humanitaria
n 
coordinatio
n and 
cooperation 
in response 
to floods, 
landslides, 
earthquakes 
and 
accidental 
3.1 Create opportunities for 
research, technology and 
knowledge transfer 
between Korean and 
Nepalese research and 
academic institutes 
(students, researchers, etc.) 
1 LoA with IAAS 
for thesis",10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf,10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf
Do they have any kind of central hub or coordinating office that's involved in responding to emergencies or crises in that area?,"MCG : Micro Capital Grant 
MDG : Millennium Development Goal 
MDGTFI : Millennium Development Goal Trust Fund Initiative 
MEDEP : Micro-Enterprise Development Programme 
M&E : Monitoring & Evaluation 
MEOC : Municipality Emergency Operation Center 
MfDR : Managing for Development Results 
MoAD : Ministry of Agriculture Development 
MoFALD : Ministry of Federal Affairs and Local Development","PDNA : Post Disaster Need Assessment 
PES : Payment for Ecosystem Services 
RAO : Regional Administration Office 
RCTMCDP : Rastrapati Chure Terai Madhesh Conservation and Development 
Programme 
REOC : Regional Emergency Operation Center 
RoK : Republic of Korea 
RSLUP : Risk Sensitive Land Use Plan/Planning 
SAHANA : SAHANA Disaster Information Management System 
SAR : Search and Rescue",10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf,10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf
What kind of groups or teams are responsible for helping different government ministries prepare for and respond to disasters in Nepal?,"MoFSC : Ministry of Forests and Soil Conservation 
MoHA : Ministry of Home Affairs 
MoPE : Ministry of Population and Environment  
MoUD : Ministry of Urban Development 
MTC : Mobile Technological Clinics (Mobile Van Campaigns) 
NASC : Nepal Administrative Staff College 
NBC : National Building Codes 
NEA : Nepal Engineering Association 
December, 2016 ANNUAL PROGRESS REPORT 
 
viii | P a g e","viii | P a g e  
 
  
NEOC : National Emergency Operation Center 
NGO(s) : Non-Governmental Organization 
NP : Nepal Police 
NPC : National Planning Commission 
NR : Nepalese Rupee 
NRA : National Reconstruction Authority 
NRRC/S : Nepal Risk Reduction Consortium/Secretariat 
NSDRM : National Strategy for Disaster Risk Management 2009 
PDNA : Post Disaster Need Assessment",10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf,10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf
Is there a role in Nepal for organizations outside the government to help with disaster response?,"viii | P a g e  
 
  
NEOC : National Emergency Operation Center 
NGO(s) : Non-Governmental Organization 
NP : Nepal Police 
NPC : National Planning Commission 
NR : Nepalese Rupee 
NRA : National Reconstruction Authority 
NRRC/S : Nepal Risk Reduction Consortium/Secretariat 
NSDRM : National Strategy for Disaster Risk Management 2009 
PDNA : Post Disaster Need Assessment","PDNA : Post Disaster Need Assessment 
PES : Payment for Ecosystem Services 
RAO : Regional Administration Office 
RCTMCDP : Rastrapati Chure Terai Madhesh Conservation and Development 
Programme 
REOC : Regional Emergency Operation Center 
RoK : Republic of Korea 
RSLUP : Risk Sensitive Land Use Plan/Planning 
SAHANA : SAHANA Disaster Information Management System 
SAR : Search and Rescue",10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf,10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf
What kind of organization is usually in charge of coordinating a response right after a disaster happens?,"PDNA : Post Disaster Need Assessment 
PES : Payment for Ecosystem Services 
RAO : Regional Administration Office 
RCTMCDP : Rastrapati Chure Terai Madhesh Conservation and Development 
Programme 
REOC : Regional Emergency Operation Center 
RoK : Republic of Korea 
RSLUP : Risk Sensitive Land Use Plan/Planning 
SAHANA : SAHANA Disaster Information Management System 
SAR : Search and Rescue","viii | P a g e  
 
  
NEOC : National Emergency Operation Center 
NGO(s) : Non-Governmental Organization 
NP : Nepal Police 
NPC : National Planning Commission 
NR : Nepalese Rupee 
NRA : National Reconstruction Authority 
NRRC/S : Nepal Risk Reduction Consortium/Secretariat 
NSDRM : National Strategy for Disaster Risk Management 2009 
PDNA : Post Disaster Need Assessment",10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf,10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf
Do you think any of these acronyms are related to how organizations respond to emergencies in general?,"SAR : Search and Rescue 
SOP : Standard Operating Procedure 
SPF : Strategic Partnership Framework 
SSC : South-South Cooperation 
TDH :  Technology Demonstration House 
ToC : Theory of Change 
ToT : Training of Trainers 
TU : Tribhuvan University 
TU-CDES : Tribhuvan University - Central Department of Environmental Sciences 
UNDAF : United Nations Development Assistance Framework","PDNA : Post Disaster Need Assessment 
PES : Payment for Ecosystem Services 
RAO : Regional Administration Office 
RCTMCDP : Rastrapati Chure Terai Madhesh Conservation and Development 
Programme 
REOC : Regional Emergency Operation Center 
RoK : Republic of Korea 
RSLUP : Risk Sensitive Land Use Plan/Planning 
SAHANA : SAHANA Disaster Information Management System 
SAR : Search and Rescue",10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf,10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf
Is there a specific organization that's in charge of coordinating efforts to prevent or respond to disasters internationally?,"UNDP : United Nations Development Programme 
UNISDR : United Nations' 
International Strategy for Disaster Reduction 
UNVs : United Nations Volunteers 
USD : United States Dollar (Currency) 
VDC : Village Development Committee 
WCDRR : World Conference on Disaster Risk Reduction 
 
  
December, 2016 ANNUAL PROGRESS REPORT 
 
ix | P a g e  
 
  
LIST OF TABLES 
  
 
LIST OF FIGURES","viii | P a g e  
 
  
NEOC : National Emergency Operation Center 
NGO(s) : Non-Governmental Organization 
NP : Nepal Police 
NPC : National Planning Commission 
NR : Nepalese Rupee 
NRA : National Reconstruction Authority 
NRRC/S : Nepal Risk Reduction Consortium/Secretariat 
NSDRM : National Strategy for Disaster Risk Management 2009 
PDNA : Post Disaster Need Assessment",10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf,10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf
How do organizations keep track of money spent during a disaster response?,"LIST OF TABLES 
  
 
LIST OF FIGURES 
  
 
TABLE NO. TITLE PAGE NO 
Table 1:  UNDAF (2013-17) Outcome and Output Statements 10 
Table 2:  Progress on UNDAF Outcome Indicators 11 
Table 3:  Progress on Project Output Indicators 14 
Table 4:  Output wise annual budget and corresponding expenditures 32 
Table 5:  Sources of funds budget and utilization of project period 32","Table 3: Progress on Output Indicators 
 
Project Output 
statement 
Output indicator Baseline Cumulative 
Target for 
2013 - 2017 
Progress up 
to 2015 
 2016 
Milestone 
2016 
Progress 
Cumulative 
progress 
up to 2016 
Means of 
verification",10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf,10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf
How do organizations usually keep track of their progress in responding to or preventing major crises?,"Table 6: M&E Expenditure in 2016 33 
Table 7:  Risk Log Matrix 43 
Table 8:  Issue Log Matrix 46 
Table 9: Progress against Annual Work Plan 2016 47 
FIGURE NO. TITLE PAGE NO 
Figure 1:  Schematic Diagram of CDRMP's Theory of Change (ToC) 8 
December, 2016 ANNUAL PROGRESS REPORT 
 
i | P a g e  
 
  
 
December, 2016 ANNUAL PROGRESS REPORT 
 
1 | P a g e  
 
  
1. EXECUTIVE SUMMARY","47 | P a g e  
   
13.  PROGRESS AGAINST ANNUAL WORK PLAN 2016  
 
 
Table 9: Progress against Annual Work Plan 2016 
EXPECTED  
OUTPUTS                    PLANNED ACTIVITIES                                       
Targets for 
Planned",10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf,10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf
What role does the government play in implementing disaster management plans?,"1 | P a g e  
 
  
1. EXECUTIVE SUMMARY  
 
Comprehensive Disaster Risk Management Progamme (CDRMP), started in 2011, is being 
implemented by UNDP in collaboration with the Ministry of Home Affairs (MoHA) as focal ministry 
in collaboration with other ministries and line departments including National Planning Commission","established/acti
vated. 
2016 CDRMP 
 
December, 2016 ANNUAL PROGRESS REPORT 
 
13 | P a g e  
 
  
Progress towards Outcome 7:  
 
UNDP through CDRMP has been supporting the National Planning Commission for better integration of 
Disaster and Climate Risk Management in sectoral planning and implementation. A study  carried out by",10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf,10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf
Does this program help people in areas that are already dealing with problems like extreme weather and natural disasters?,"(NPC). The programme intends to contribute towards achieving Nepal’s UNDAF  (2013-017) 
Outcome 7, which states: people living in areas vulnerable to climate change and disasters benefit 
from improved risk management and are more resilient to hazard -related shocks. The activities 
implemented in 2016 contribute towards achieving this outcome.","programme intends to contribute towards achieving Nepal’s UNDAF Outcome 7, which states: 
people living in areas vulnerable to climate change and disasters benefit from improved risk 
management and are more resilient to hazard-related shocks.  
 
The programme comprises of five components as briefly mentioned below:  
1. Institutional and Legislative System for DRM and Capacity Development:",10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf,10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf
How exactly do governments prepare for and respond to disasters under this plan?,"In 2016, results have been achieved under the major four components  of CDRMP: (i) Institutional 
and Legislative Systems for DRM and Capacity Building, (ii) National Building Codes and Risk 
Sensitive Land Use Plan implementation, (iii) Emergency Prepared ness, Response and Early 
Recovery and (iv) Integrated Climate Risk Management.","established/acti
vated. 
2016 CDRMP 
 
December, 2016 ANNUAL PROGRESS REPORT 
 
13 | P a g e  
 
  
Progress towards Outcome 7:  
 
UNDP through CDRMP has been supporting the National Planning Commission for better integration of 
Disaster and Climate Risk Management in sectoral planning and implementation. A study  carried out by",10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf,10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf
How does the government of Nepal work with other organizations to prepare for and respond to disasters?,"CDRMP continued its support and contribution in 2016 to the Government of Nepal’s overall effort 
in improving disaster risk management at community, sub -national and national level through 
several interventions. UNDP, being co-lead for ""policy/institutional support for DRM"" to the Ministry 
of Home Affairs – lead ministry, has begun formulation of National Disaster Risk Management (DRM)","The Ministry of Home Affairs and other ministries and departments have been the main agencies of 
the Government of Nepal to reduce the disaster risks in Nepal in collaboration with development 
partners. In this context, CDRMP was launched in 2011 with an aim to support th e Government of 
Nepal to strengthen the institutional and legislative aspects of Disaster Risk Management (DRM) by",10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf,10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf
Do we have any plans in place to respond to major natural disasters like the one that happened in 2015 in case it happens again?,"Policy and Strategic Action Plan, in line with the Sendai Framework of Disaster Risk Reduction 
(SFDRR) 2015-2030. A study entitled ""Gorkha Earthquake 2015: Experience and Learning"" was 
carried out and the findings were shared with the national stakeholder s for informing future 
interventions. Two episodes on Gorkha Earthquake 2015: Experience and Learning were developed","Home Affairs (MoHA) has been provided to conduct a study on ""Gorkha 
Earthquake 2015: Learning and Experience""; the study has been completed 
and the report in the form of a book has been printed out. For wider sharing, 
the report is being translated into English as well. Further, to better 
disseminate the learning s and experience, two episodes of Video",10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf,10b495d541bde688ebfea7ce2d15dbd8f163ec818657ead3663acb6511bd9560.pdf
